repo,source,description,category,language,stars,forks,descripcion_es,open_issues,license,topics,created_at,updated_at,pushed_at,discovered_at,source_url,github_url,score
RVC-Boss/GPT-SoVITS,MAGI//ARCHIVE,1 min voice data can also be used to train a good TTS model! (few shot voice cloning),LLM / GenAI,Python,58274,6379,"Trabaja con modelos de lenguaje, recuperación aumentada o flujos de IA generativa.",870,MIT,text-to-speech; tts; vits; voice-clone; voice-cloneai; voice-cloning,2024-01-14T18:05:21Z,2026-06-01T18:12:42Z,2026-04-30T07:01:46Z,2026-01-29,https://tom-doerr.github.io/repo_posts/2026/01/29/RVC-Boss-GPT-SoVITS.html,https://github.com/RVC-Boss/GPT-SoVITS,77411
ruvnet/ruflo,MAGI//ARCHIVE,"🌊 The leading agent meta-harness for Claude. Deploy intelligent multi-agent swarms, coordinate autonomous workflows, and build conversational AI systems. Features adaptive memory, self-learning swarm intelligence, RAG integration, and native Claude Code / Codex Integration",Qualitative analysis,TypeScript,57220,6518,"Sirve para organizar, codificar o analizar materiales cualitativos.",595,MIT,agentic-ai; agentic-framework; agentic-rag; agentic-workflow; agents; ai-agents; ai-assistant; ai-coding; ai-skills; autonomous-agents; claude-code; codex; mcp-server; multi-agent; multi-agent-systems; npm; skills; swarm; swarm-intelligence; typescript,2025-06-02T21:24:20Z,2026-06-01T18:17:49Z,2026-06-01T09:44:28Z,2026-01-28,https://tom-doerr.github.io/repo_posts/2026/01/28/ruvnet-claude-flow.html,https://github.com/ruvnet/ruflo,76774
pocketbase/pocketbase,MAGI//ARCHIVE,Open Source realtime backend in 1 file,Other,Go,58791,3432,Sirve para trabajar con herramienta de código abierto.,17,MIT,authentication; backend; golang; realtime,2022-07-05T06:06:21Z,2026-06-01T17:58:11Z,2026-05-31T07:34:35Z,2026-01-29,https://tom-doerr.github.io/repo_posts/2026/01/29/pocketbase-pocketbase.html,https://github.com/pocketbase/pocketbase,69087
dayanch96/YTLite,MAGI//ARCHIVE,A flexible enhancer for YouTube on iOS,Other,Logos,5104,21032,Repositorio para revisar: a flexible enhancer for youtube on ios.,37,,downloader; ios; jailbreak; sponsorblock; tweak; youtube,2023-06-18T15:53:56Z,2026-06-01T18:09:59Z,2026-05-17T22:39:25Z,2026-01-31,https://tom-doerr.github.io/repo_posts/2026/01/31/dayanch96-YTLite.html,https://github.com/dayanch96/YTLite,68200
metabase/metabase,GitHub topic:dashboard + GitHub topic:data-visualization,The easy-to-use open source Business Intelligence and Embedded Analytics tool that lets everyone work with data :bar_chart:,Data / ETL,Clojure,47531,6500,"Construye o muestra paneles de control para comparar resultados, métricas o modelos.",4169,NOASSERTION,analytics; bi; business-intelligence; businessintelligence; clojure; dashboard; data; data-analysis; data-visualization; database; metabase; mysql; postgres; postgresql; reporting; slack,2015-02-02T19:25:47Z,2026-06-01T18:13:42Z,2026-06-01T18:13:38Z,,https://github.com/topics/dashboard,https://github.com/metabase/metabase,67031
Leaflet/Leaflet,GitHub topic:leaflet,🍃 JavaScript library for mobile-friendly interactive maps 🇺🇦,Geospatial,JavaScript,45122,6125,Sirve para trabajar con información geoespacial y mapas.,536,BSD-2-Clause,javascript; leaflet; maps,2010-09-22T16:57:44Z,2026-06-01T16:34:58Z,2026-06-01T12:43:33Z,,https://github.com/topics/leaflet,https://github.com/Leaflet/Leaflet,63497
makeplane/plane,MAGI//ARCHIVE,"🔥🔥🔥 Open-source Jira, Linear, Monday, and ClickUp alternative. Plane is a modern project management platform to manage tasks, sprints, docs, and triage.",Data / ETL,TypeScript,50055,4386,Agrega herramientas de línea de comandos para automatizar tareas de desarrollo.,871,AGPL-3.0,boards; bug-tracker; django; docker; gantt; issue-tracker; jira; jira-alternative; kanban; linear; postgresql; product-management; project-management; project-planning; python; react; redis; typescipt; vite; work-management,2022-11-19T12:55:01Z,2026-06-01T18:08:13Z,2026-06-01T14:01:41Z,2026-01-29,https://tom-doerr.github.io/repo_posts/2026/01/29/makeplane-plane.html,https://github.com/makeplane/plane,63213
juspay/hyperswitch,MAGI//ARCHIVE,"Open source, composable payments platform | PCI compliant | SaaS and Self-host options | Enables connectivity to multiple payment, payout, fraud, vault and tokenization providers | Uplifts authorization with intelligent routing and revenue recovery | Reduce payment processing costs with cost observability | Reduces payment ops with reconciliation",Other,Rust,42796,4762,Sirve para trabajar con herramienta de código abierto.,1726,Apache-2.0,adyen; beginner-friendly; featured; finance; fintech; hacktoberfest; high-performance; open-source; orchestration; payment; payment-gateway; payment-integration; payment-processing; payments; payments-platform; restful-api; rust; sdk; stripe; works-with-react,2022-10-17T11:18:28Z,2026-06-01T17:59:24Z,2026-06-01T18:19:36Z,2026-01-28,https://tom-doerr.github.io/repo_posts/2026/01/28/juspay-hyperswitch.html,https://github.com/juspay/hyperswitch,57082
agno-agi/agno,MAGI//ARCHIVE,"Build, run, and manage agent platforms.",AI agents,Python,40450,5449,Permite crear o ejecutar agentes de IA con herramientas y flujos automatizados.,870,Apache-2.0,agents; ai; ai-agents; developer-tools; python,2022-05-04T15:23:02Z,2026-06-01T17:54:28Z,2026-06-01T18:06:44Z,2026-01-29,https://tom-doerr.github.io/repo_posts/2026/01/29/agno-agi-agno.html,https://github.com/agno-agi/agno,56797
hpcaitech/ColossalAI,MAGI//ARCHIVE,"Making large AI models cheaper, faster and more accessible",Data / ETL,Python,41382,4506,Sirve para trabajar con datos.,500,Apache-2.0,ai; big-model; data-parallelism; deep-learning; distributed-computing; foundation-models; heterogeneous-training; hpc; inference; large-scale; model-parallelism; pipeline-parallelism,2021-10-28T16:19:44Z,2026-06-01T16:28:46Z,2026-05-25T17:39:11Z,2026-01-30,https://tom-doerr.github.io/repo_posts/2026/01/30/hpcaitech-ColossalAI.html,https://github.com/hpcaitech/ColossalAI,54900
gradio-app/gradio,GitHub topic:data-visualization,"Build and share delightful machine learning apps, all in Python. 🌟 Star to support our work!",Data / ETL,Python,42776,3470,"Ayuda a escribir y publicar libros, tesis o documentos académicos extensos.",321,Apache-2.0,data-analysis; data-science; data-visualization; deep-learning; deploy; gradio; gradio-interface; interface; machine-learning; models; python; python-notebook; ui; ui-components,2018-12-19T08:24:04Z,2026-06-01T17:56:10Z,2026-06-01T18:19:46Z,,https://github.com/topics/data-visualization,https://github.com/gradio-app/gradio,53186
langchain-ai/langgraph,GitHub topic:rag,Build resilient agents.,AI agents,Python,33572,5659,"Trabaja con modelos de lenguaje, recuperación aumentada o flujos de IA generativa.",546,MIT,agents; ai; ai-agents; chatgpt; deepagents; enterprise; framework; gemini; generative-ai; langchain; langgraph; llm; multiagent; open-source; openai; pydantic; python; rag,2023-08-09T18:33:12Z,2026-06-01T18:01:31Z,2026-06-01T18:01:12Z,,https://github.com/topics/rag,https://github.com/langchain-ai/langgraph,50549
cloudflare/cloudflare-docs,GitHub topic:markdown,Cloudflare’s documentation,Academic writing,MDX,4780,14734,Sirve para trabajar con escritura académica.,391,CC-BY-4.0,cloudflare; docs; hacktoberfest; markdown; mdx,2020-09-03T20:29:26Z,2026-06-01T18:11:32Z,2026-06-01T18:15:58Z,,https://github.com/topics/markdown,https://github.com/cloudflare/cloudflare-docs,48982
docsifyjs/docsify,MAGI//ARCHIVE,🃏 A magical documentation site generator.,Academic writing,JavaScript,31245,5811,Genera sitios de documentación a partir de archivos Markdown.,105,MIT,doc; docs; docsify; documentation; documentation-tool; github-pages; markdown; vue,2016-11-20T07:55:43Z,2026-06-01T16:40:12Z,2026-05-29T15:52:51Z,2026-01-31,https://tom-doerr.github.io/repo_posts/2026/01/31/docsifyjs-docsify.html,https://github.com/docsifyjs/docsify,48678
FreeCAD/FreeCAD,MAGI//ARCHIVE,"Official source code of FreeCAD, a free and opensource multiplatform 3D parametric modeler.",Dev tools,C++,31273,5620,"Genera, procesa o visualiza recursos 3D.",3973,LGPL-2.1,3d; 3d-printing; architecture; bim; cad; cam; coin; engineering; fem; freecad; linux; macos; opencascade; windows,2012-09-09T08:25:02Z,2026-06-01T18:16:17Z,2026-06-01T16:32:51Z,2026-01-29,https://tom-doerr.github.io/repo_posts/2026/01/29/FreeCAD-FreeCAD.html,https://github.com/FreeCAD/FreeCAD,48133
ashishpatel26/500-AI-Agents-Projects,MAGI//ARCHIVE,"The 500 AI Agents Projects is a curated collection of AI agent use cases across various industries. It showcases practical applications and provides links to open-source projects for implementation, illustrating how AI agents are transforming sectors such as healthcare, finance, education, retail, and more.",AI agents,,31532,5497,Permite crear o ejecutar agentes de IA con herramientas y flujos automatizados.,72,MIT,ai-agents; genai,2024-12-20T13:37:15Z,2026-06-01T18:17:58Z,2026-01-13T05:19:51Z,2026-01-29,https://tom-doerr.github.io/repo_posts/2026/01/29/ashishpatel26-500-AI-Agents-Projects.html,https://github.com/ashishpatel26/500-AI-Agents-Projects,48023
sgl-project/sglang,GitHub topic:llm,SGLang is a high-performance serving framework for large language models and multimodal models.,LLM / GenAI,Python,28881,6260,"Trabaja con modelos de lenguaje, recuperación aumentada o flujos de IA generativa.",3684,Apache-2.0,attention; blackwell; cuda; deepseek; diffusion; glm; gpt-oss; inference; llama; llm; minimax; moe; qwen; qwen-image; reinforcement-learning; transformer; vlm; wan,2024-01-08T04:15:52Z,2026-06-01T18:21:14Z,2026-06-01T18:19:17Z,,https://github.com/topics/llm,https://github.com/sgl-project/sglang,47661
filebrowser/filebrowser,MAGI//ARCHIVE,📂 Web File Browser,Other,Go,34928,3865,Repositorio para revisar: 📂 web file browser.,50,Apache-2.0,file-browser; file-manager; file-sharing; go; material-design; self-hosted; vue,2015-09-11T21:21:58Z,2026-06-01T18:12:20Z,2026-06-01T03:28:13Z,2026-01-30,https://tom-doerr.github.io/repo_posts/2026/01/30/filebrowser-filebrowser.html,https://github.com/filebrowser/filebrowser,46523
CopilotKit/CopilotKit,MAGI//ARCHIVE,The Frontend Stack for Agents & Generative UI. React + Angular.  Makers of the AG-UI Protocol,AI agents,TypeScript,31885,4123,"Trabaja con modelos de lenguaje, recuperación aumentada o flujos de IA generativa.",525,MIT,agent; agent-native; agentic-ai; agents; ai; ai-agent; ai-assistant; assistant; assistant-chat-bots; copilot; copilot-chat; generative-ui; js; llm; nextjs; open-source; react; reactjs; ts; typescript,2023-06-19T04:08:31Z,2026-06-01T17:31:50Z,2026-06-01T17:20:57Z,2026-01-31,https://tom-doerr.github.io/repo_posts/2026/01/31/CopilotKit-CopilotKit.html,https://github.com/CopilotKit/CopilotKit,44254
onyx-dot-app/onyx,GitHub topic:llm + GitHub topic:rag,Open Source AI Platform - AI Chat with advanced features that works with every LLM,LLM / GenAI,Python,29951,4068,"Trabaja con modelos de lenguaje, recuperación aumentada o flujos de IA generativa.",392,NOASSERTION,ai; ai-chat; chatgpt; chatui; enterprise-search; gen-ai; information-retrieval; llm; llm-ui; nextjs; python; rag; self-hosted; vector-search,2023-04-27T06:04:01Z,2026-06-01T18:20:27Z,2026-06-01T18:20:06Z,,https://github.com/topics/llm,https://github.com/onyx-dot-app/onyx,42155
khoj-ai/khoj,MAGI//ARCHIVE,"Your AI second brain. Self-hostable. Get answers from the web or your docs. Build custom agents, schedule automations, do deep research. Turn any online or local LLM into your personal, autonomous AI (gpt, claude, gemini, llama, qwen, mistral). Get started - free.",AI agents,Python,34795,2215,"Trabaja con modelos de lenguaje, recuperación aumentada o flujos de IA generativa.",99,AGPL-3.0,agent; ai; assistant; chat; chatgpt; emacs; image-generation; llama3; llamacpp; llm; obsidian; obsidian-md; offline-llm; productivity; rag; research; self-hosted; semantic-search; stt; whatsapp-ai,2021-08-16T01:48:44Z,2026-06-01T18:19:01Z,2026-03-26T03:35:43Z,2026-01-30,https://tom-doerr.github.io/repo_posts/2026/01/30/khoj-ai-khoj.html,https://github.com/khoj-ai/khoj,41440
VectifyAI/PageIndex,MAGI//ARCHIVE + GitHub topic:vector-database,"📑 PageIndex: Document Index for Vectorless, Reasoning-based RAG",AI agents,Python,32412,2796,"Trabaja con modelos de lenguaje, recuperación aumentada o flujos de IA generativa.",174,MIT,agentic-ai; agents; ai; ai-agents; context-engineering; information-retrieval; llm; rag; reasoning; retrieval; retrieval-augmented-generation; vector-database,2025-04-01T10:53:54Z,2026-06-01T17:57:54Z,2026-06-01T17:17:01Z,2026-01-29,https://tom-doerr.github.io/repo_posts/2026/01/29/VectifyAI-PageIndex.html,https://github.com/VectifyAI/PageIndex,40800
deskflow/deskflow,MAGI//ARCHIVE,Share a single keyboard and mouse between multiple computers.,Other,C++,26186,4616,Repositorio para revisar: share a single keyboard and mouse between multiple computers.,170,GPL-2.0,keyboard; keyboard-emulation; mouse; mouse-emulation; network,2014-10-12T23:18:57Z,2026-06-01T14:52:05Z,2026-06-01T18:01:17Z,2026-01-29,https://tom-doerr.github.io/repo_posts/2026/01/29/deskflow-deskflow.html,https://github.com/deskflow/deskflow,40034
qdrant/qdrant,GitHub topic:vector-database,"Qdrant - High-performance, massive-scale Vector Database and Vector Search Engine for the next generation of AI. Also available in the cloud https://cloud.qdrant.io/",LLM / GenAI,Rust,31733,2310,"Trabaja con modelos de lenguaje, recuperación aumentada o flujos de IA generativa.",566,Apache-2.0,ai-search; ai-search-engine; embeddings-similarity; hnsw; hybrid-search; image-search; knn-algorithm; machine-learning; mlops; nearest-neighbor-search; neural-network; neural-search; recommender-system; search; search-engine; search-engines; similarity-search; vector-database; vector-search; vector-search-engine,2020-05-30T21:37:01Z,2026-06-01T18:14:49Z,2026-06-01T17:44:33Z,,https://github.com/topics/vector-database,https://github.com/qdrant/qdrant,38663
floating-ui/floating-ui,MAGI//ARCHIVE,A JavaScript library to position floating elements and create interactions for them.,Other,TypeScript,32610,1678,Repositorio para revisar: a javascript library to position floating elements and create interactions for them.,50,MIT,dropdown; hacktoberfest; popover; popovers; position; positioning; positioning-engine; tooltip; tooltip-position,2016-03-29T17:00:47Z,2026-06-01T12:04:31Z,2026-03-03T03:02:11Z,2026-01-30,https://tom-doerr.github.io/repo_posts/2026/01/30/floating-ui-floating-ui.html,https://github.com/floating-ui/floating-ui,37644
jivoi/awesome-osint,MAGI//ARCHIVE,:scream: A curated list of amazingly awesome OSINT,Other,,26582,3667,Repositorio para revisar: :scream: a curated list of amazingly awesome osint.,0,NOASSERTION,awesome-list; osint; website,2016-11-30T13:26:11Z,2026-06-01T17:52:54Z,2026-05-29T20:35:37Z,2026-01-30,https://tom-doerr.github.io/repo_posts/2026/01/30/jivoi-awesome-osint.html,https://github.com/jivoi/awesome-osint,37583
langfuse/langfuse,GitHub topic:llm,"🪢 Open source LLM engineering platform: LLM Observability, metrics, evals, prompt management, playground, datasets. Integrates with OpenTelemetry, Langchain, OpenAI SDK, LiteLLM, and more. 🍊YC W23 ",LLM / GenAI,TypeScript,28322,2919,"Trabaja con modelos de lenguaje, recuperación aumentada o flujos de IA generativa.",660,NOASSERTION,analytics; autogen; evaluation; langchain; large-language-models; llama-index; llm; llm-evaluation; llm-observability; llmops; monitoring; observability; open-source; openai; playground; prompt-engineering; prompt-management; self-hosted; ycombinator,2023-05-18T17:47:09Z,2026-06-01T18:19:16Z,2026-06-01T18:18:04Z,,https://github.com/topics/llm,https://github.com/langfuse/langfuse,37079
chroma-core/chroma,MAGI//ARCHIVE + GitHub topic:ai-agents,Search infrastructure for AI,AI agents,Rust,28172,2283,Permite crear o ejecutar agentes de IA con herramientas y flujos automatizados.,643,Apache-2.0,agents; ai; ai-agents; database; rust; rust-lang,2022-10-05T17:58:44Z,2026-06-01T18:13:16Z,2026-06-01T18:13:04Z,2026-01-31,https://tom-doerr.github.io/repo_posts/2026/01/31/chroma-core-chroma.html,https://github.com/chroma-core/chroma,35021
OpenBMB/VoxCPM,MAGI//ARCHIVE,"VoxCPM2: Tokenizer-Free TTS for Multilingual Speech Generation, Creative Voice Design, and True-to-Life Cloning",Other,Python,24130,2779,"Ayuda a escribir y publicar libros, tesis o documentos académicos extensos.",112,Apache-2.0,audio; deeplearning; minicpm; multilingual; python; pytorch; speech; speech-synthesis; text-to-speech; tts; tts-model; voice-cloning; voice-design; voxcpm,2025-09-16T03:41:49Z,2026-06-01T18:19:57Z,2026-05-22T03:27:10Z,2026-01-30,https://tom-doerr.github.io/repo_posts/2026/01/30/OpenBMB-VoxCPM.html,https://github.com/OpenBMB/VoxCPM,32467
Imbad0202/academic-research-skills,GitHub topic:academic-writing + GitHub topic:literature-review,Academic Research Skills for Claude Code: research → write → review → revise → finalize,LLM / GenAI,Python,25668,2116,"Trabaja con modelos de lenguaje, recuperación aumentada o flujos de IA generativa.",36,NOASSERTION,academic-pipeline; academic-writing; ai-research; claude; claude-code; literature-review; peer-review; prompt-engineering,2026-02-26T06:31:01Z,2026-06-01T18:02:45Z,2026-06-01T05:27:59Z,,https://github.com/topics/academic-writing,https://github.com/Imbad0202/academic-research-skills,32016
rustfs/rustfs,MAGI//ARCHIVE,"🚀2.3x faster than MinIO for 4KB object payloads. RustFS is an open-source, S3-compatible high-performance object storage system supporting migration and coexistence with other S3-compatible platforms such as MinIO and Ceph.",LLM / GenAI,Rust,28226,1223,"Trabaja con modelos de lenguaje, recuperación aumentada o flujos de IA generativa.",67,Apache-2.0,ai-native; ai-storage; amazon-s3; bigdata; cloud-native; filesystem; minio; multi-cloud; object-storage; objectstorage; rust; s3,2023-11-23T13:45:10Z,2026-06-01T17:40:35Z,2026-06-01T17:52:27Z,2026-01-29,https://tom-doerr.github.io/repo_posts/2026/01/29/rustfs-rustfs.html,https://github.com/rustfs/rustfs,31895
onlook-dev/onlook,MAGI//ARCHIVE,"The Cursor for Designers • An Open-Source AI-First Design tool • Visually build, style, and edit your React App with AI",Qualitative analysis,TypeScript,25856,1995,"Sirve para organizar, codificar o analizar materiales cualitativos.",366,Apache-2.0,ai; cursor; cursor-ai; design; design-to-code; drizzle; editor; figma; frontend; ide; low-code; nextjs; react; supabase; tailwindcss; typescript; ui; vibe-coding; vibecoding,2024-06-25T19:16:02Z,2026-06-01T18:08:17Z,2026-03-27T18:58:36Z,2026-01-30,https://tom-doerr.github.io/repo_posts/2026/01/30/onlook-dev-onlook.html,https://github.com/onlook-dev/onlook,31841
Cinnamon/kotaemon,MAGI//ARCHIVE,An open-source RAG-based tool for chatting with your documents.,LLM / GenAI,Python,25413,2119,"Trabaja con modelos de lenguaje, recuperación aumentada o flujos de IA generativa.",232,Apache-2.0,chatbot; llms; open-source; rag,2024-03-25T08:16:42Z,2026-06-01T17:43:45Z,2026-05-31T05:18:36Z,2026-01-29,https://tom-doerr.github.io/repo_posts/2026/01/29/Cinnamon-kotaemon.html,https://github.com/Cinnamon/kotaemon,31770
luong-komorebi/Awesome-Linux-Software,MAGI//ARCHIVE,🐧 A list of awesome Linux softwares ,Dev tools,HTML,24966,2205,Agrega herramientas de línea de comandos para automatizar tareas de desarrollo.,0,,applications; awesome-list; cli-app; cross-platform; desktop-environment; free; freeware-icon; gui-app; icon-theme; linux; linux-app; linux-desktop; linux-resource; open-source; oss-icon; software; tools; ubuntu-linux,2016-08-06T13:16:29Z,2026-06-01T16:59:49Z,2026-05-03T08:15:18Z,2026-01-29,https://tom-doerr.github.io/repo_posts/2026/01/29/luong-komorebi-Awesome-Linux-Software.html,https://github.com/luong-komorebi/Awesome-Linux-Software,31581
google-ai-edge/gallery,MAGI//ARCHIVE,A gallery that showcases on-device ML/GenAI use cases and allows people to try and use models locally.,Other,Kotlin,23402,2428,Repositorio para revisar: a gallery that showcases on-device ml/genai use cases and allows people to try and use models locally.,309,Apache-2.0,,2025-03-31T17:47:28Z,2026-06-01T17:10:08Z,2026-06-01T16:47:32Z,2026-01-31,https://tom-doerr.github.io/repo_posts/2026/01/31/google-ai-edge-gallery.html,https://github.com/google-ai-edge/gallery,30686
Skyvern-AI/skyvern,GitHub topic:llm,Automate browser based workflows with AI,LLM / GenAI,Python,21787,2030,"Trabaja con modelos de lenguaje, recuperación aumentada o flujos de IA generativa.",157,AGPL-3.0,ai; api; automation; browser; browser-automation; computer; gpt; llm; playwright; powerautomate; puppeteer; python; rpa; selenium; vision; workflow,2024-02-28T15:45:19Z,2026-06-01T18:18:36Z,2026-06-01T18:18:05Z,,https://github.com/topics/llm,https://github.com/Skyvern-AI/skyvern,27877
browserbase/stagehand,MAGI//ARCHIVE,The SDK For Browser Agents,AI agents,TypeScript,22882,1547,"Trabaja con modelos de lenguaje, recuperación aumentada o flujos de IA generativa.",229,MIT,agents; ai; llms; playwright; puppeteer; selenium,2024-03-24T19:19:44Z,2026-06-01T17:13:04Z,2026-05-29T01:05:35Z,2026-01-30,https://tom-doerr.github.io/repo_posts/2026/01/30/browserbase-stagehand.html,https://github.com/browserbase/stagehand,27523
CesiumGS/cesium,GitHub topic:geospatial + GitHub topic:gis,An open-source JavaScript library for world-class 3D globes and maps :earth_americas:,Geospatial,JavaScript,15326,3811,"Permite visualizar, gestionar o analizar datos geoespaciales.",1607,Apache-2.0,3d; 3d-globe; 3d-tiles; cesium; czml; geospatial; gis; gltf; webgl,2012-03-02T22:27:14Z,2026-06-01T17:25:48Z,2026-06-01T16:33:03Z,,https://github.com/topics/geospatial,https://github.com/CesiumGS/cesium,26759
creativetimofficial/ui,MAGI//ARCHIVE,"Open-source components, blocks, and AI agents designed to speed up your workflow. Import them seamlessly into your favorite tools through Registry and MCPs.",AI agents,TypeScript,11899,4838,"Permite visualizar, gestionar o analizar datos geoespaciales.",19,MIT,admin; blocks; creative-tim; creative-tim-blocks; creative-tim-ui; eleven-labs; shadcn; shadcn-ui; ui-blocks; vercel-deployment,2016-09-19T15:36:24Z,2026-06-01T11:30:43Z,2026-03-14T20:41:18Z,2026-01-31,https://tom-doerr.github.io/repo_posts/2026/01/31/creativetimofficial-material-dashboard.html,https://github.com/creativetimofficial/ui,26413
livekit/livekit,MAGI//ARCHIVE,End-to-end realtime stack for connecting humans and AI,Dev tools,Go,18998,2037,"Agrega herramientas para programar, automatizar o mantener proyectos.",183,Apache-2.0,golang; media-server; sfu; video; voice; voice-ai; webrtc,2020-09-30T06:49:46Z,2026-06-01T13:56:42Z,2026-06-01T13:55:45Z,2026-01-31,https://tom-doerr.github.io/repo_posts/2026/01/31/livekit-livekit.html,https://github.com/livekit/livekit,25109
