repo,source,description,category,language,stars,forks,descripcion_es,open_issues,license,topics,created_at,updated_at,pushed_at,discovered_at,source_url,github_url,score
ruvnet/ruflo,MAGI//ARCHIVE,"🌊 The leading agent meta-harness. Deploy intelligent multi-player swarms, coordinate autonomous workflows, and build conversational AI systems. Features adaptive memory, self-learning swarm intelligence, RAG integration, and native Claude Code / Codex Integration",Qualitative analysis,TypeScript,62030,7261,"Sirve para organizar, codificar o analizar materiales cualitativos.",693,MIT,agentic-ai; agentic-framework; agentic-rag; agentic-workflow; agents; ai-agents; ai-assistant; ai-coding; ai-skills; autonomous-agents; claude-code; codex; mcp-server; multi-agent; multi-agent-systems; npm; skills; swarm; swarm-intelligence; typescript,2025-06-02T21:24:20Z,2026-06-29T16:12:14Z,2026-06-29T16:04:24Z,2026-01-28,https://tom-doerr.github.io/repo_posts/2026/01/28/ruvnet-claude-flow.html,https://github.com/ruvnet/ruflo,83813
mem0ai/mem0,GitHub topic:rag,Universal memory layer for AI Agents,AI agents,Python,59702,6914,"Trabaja con modelos de lenguaje, recuperación aumentada o flujos de IA generativa.",443,Apache-2.0,agents; ai; ai-agents; application; chatbots; chatgpt; genai; llm; long-term-memory; memory; memory-management; python; rag; state-management,2023-06-20T08:58:36Z,2026-06-29T16:11:47Z,2026-06-29T16:10:13Z,,https://github.com/topics/rag,https://github.com/mem0ai/mem0,80444
RVC-Boss/GPT-SoVITS,MAGI//ARCHIVE,1 min voice data can also be used to train a good TTS model! (few shot voice cloning),LLM / GenAI,Python,59144,6448,"Trabaja con modelos de lenguaje, recuperación aumentada o flujos de IA generativa.",871,MIT,text-to-speech; tts; vits; voice-clone; voice-cloneai; voice-cloning,2024-01-14T18:05:21Z,2026-06-29T15:45:46Z,2026-06-20T07:45:00Z,2026-01-29,https://tom-doerr.github.io/repo_posts/2026/01/29/RVC-Boss-GPT-SoVITS.html,https://github.com/RVC-Boss/GPT-SoVITS,78488
pocketbase/pocketbase,MAGI//ARCHIVE,Open Source realtime backend in 1 file,Other,Go,59334,3481,Sirve para trabajar con herramienta de código abierto.,16,MIT,authentication; backend; golang; realtime,2022-07-05T06:06:21Z,2026-06-29T16:08:46Z,2026-06-28T08:13:37Z,2026-01-29,https://tom-doerr.github.io/repo_posts/2026/01/29/pocketbase-pocketbase.html,https://github.com/pocketbase/pocketbase,69777
dayanch96/YTLite,MAGI//ARCHIVE,A flexible enhancer for YouTube on iOS,Other,Logos,5180,21490,Repositorio para revisar: a flexible enhancer for youtube on ios.,43,,downloader; ios; jailbreak; sponsorblock; tweak; youtube,2023-06-18T15:53:56Z,2026-06-29T15:58:18Z,2026-05-17T22:39:25Z,2026-01-31,https://tom-doerr.github.io/repo_posts/2026/01/31/dayanch96-YTLite.html,https://github.com/dayanch96/YTLite,69650
makeplane/plane,MAGI//ARCHIVE,"🔥🔥🔥 Open-source Jira, Linear, Monday, and ClickUp alternative. Plane is a modern project management platform to manage tasks, sprints, docs, and triage.",Data / ETL,TypeScript,53513,4806,Agrega herramientas de línea de comandos para automatizar tareas de desarrollo.,953,AGPL-3.0,boards; bug-tracker; django; docker; gantt; issue-tracker; jira; jira-alternative; kanban; linear; postgresql; product-management; project-management; project-planning; python; react; redis; typescipt; vite; work-management,2022-11-19T12:55:01Z,2026-06-29T16:12:13Z,2026-06-29T13:29:15Z,2026-01-29,https://tom-doerr.github.io/repo_posts/2026/01/29/makeplane-plane.html,https://github.com/makeplane/plane,67931
metabase/metabase,GitHub topic:dashboard + GitHub topic:data-visualization,The easy-to-use open source Business Intelligence and Embedded Analytics tool that lets everyone work with data :bar_chart:,Data / ETL,Clojure,47982,6617,"Construye o muestra paneles de control para comparar resultados, métricas o modelos.",4018,NOASSERTION,analytics; bi; business-intelligence; businessintelligence; clojure; dashboard; data; data-analysis; data-visualization; database; metabase; mysql; postgres; postgresql; reporting; slack,2015-02-02T19:25:47Z,2026-06-29T15:52:11Z,2026-06-29T16:15:40Z,,https://github.com/topics/dashboard,https://github.com/metabase/metabase,67833
meilisearch/meilisearch,GitHub topic:vector-database,A lightning-fast search engine API bringing AI-powered hybrid search to your sites and applications.,Geospatial,Rust,58342,2600,"Gestiona, indexa o consulta datos en bases de datos y motores de búsqueda.",298,NOASSERTION,ai; api; app-search; database; enterprise-search; faceting; full-text-search; fuzzy-search; geosearch; hybrid-search; instantsearch; search; search-as-you-type; search-engine; semantic-search; site-search; typo-tolerance; vector-database; vector-search; vectors,2018-04-23T11:45:28Z,2026-06-29T15:08:31Z,2026-06-29T16:11:16Z,,https://github.com/topics/vector-database,https://github.com/meilisearch/meilisearch,66142
headroomlabs-ai/headroom,GitHub topic:rag,"Compress tool outputs, logs, files, and RAG chunks before they reach the LLM. 60-95% fewer tokens, same answers. Library, proxy, MCP server.",AI agents,Python,53669,3857,"Trabaja con modelos de lenguaje, recuperación aumentada o flujos de IA generativa.",432,Apache-2.0,agent; ai; anthropic; claude-code; compression; context-engineering; context-window; cursor; fastapi; langchain; llm; mcp; openai; prompt-engineering; proxy; python; rag; token-optimization; tokens; typescript,2026-01-07T19:58:51Z,2026-06-29T16:16:16Z,2026-06-29T16:07:18Z,,https://github.com/topics/rag,https://github.com/headroomlabs-ai/headroom,65240
Leaflet/Leaflet,GitHub topic:leaflet,🍃 JavaScript library for mobile-friendly interactive maps 🇺🇦,Geospatial,JavaScript,45272,6141,Sirve para trabajar con información geoespacial y mapas.,569,BSD-2-Clause,javascript; leaflet; maps,2010-09-22T16:57:44Z,2026-06-29T15:49:11Z,2026-06-29T12:53:03Z,,https://github.com/topics/leaflet,https://github.com/Leaflet/Leaflet,63695
streamlit/streamlit,GitHub topic:data-visualization,Streamlit — A faster way to build and share data apps.,Data / ETL,Python,45101,4304,Crea visualizaciones para explorar datos y comunicar resultados.,1281,Apache-2.0,data-analysis; data-science; data-visualization; deep-learning; developer-tools; machine-learning; python; streamlit,2019-08-24T00:14:52Z,2026-06-29T16:12:31Z,2026-06-29T15:43:26Z,,https://github.com/topics/data-visualization,https://github.com/streamlit/streamlit,58013
juspay/hyperswitch,MAGI//ARCHIVE,"Open source, composable payments platform | PCI compliant | SaaS and Self-host options | Enables connectivity to multiple payment, payout, fraud, vault and tokenization providers | Uplifts authorization with intelligent routing and revenue recovery | Reduce payment processing costs with cost observability | Reduces payment ops with reconciliation",Other,Rust,43174,4924,Sirve para trabajar con herramienta de código abierto.,1948,Apache-2.0,adyen; beginner-friendly; featured; finance; fintech; hacktoberfest; high-performance; open-source; orchestration; payment; payment-gateway; payment-integration; payment-processing; payments; payments-platform; restful-api; rust; sdk; stripe; works-with-react,2022-10-17T11:18:28Z,2026-06-29T15:18:45Z,2026-06-29T16:01:11Z,2026-01-28,https://tom-doerr.github.io/repo_posts/2026/01/28/juspay-hyperswitch.html,https://github.com/juspay/hyperswitch,57946
agno-agi/agno,MAGI//ARCHIVE,"Build, run, and manage agent platforms.",AI agents,Python,40900,5570,Permite crear o ejecutar agentes de IA con herramientas y flujos automatizados.,951,Apache-2.0,agents; ai; ai-agents; developer-tools; python,2022-05-04T15:23:02Z,2026-06-29T15:59:45Z,2026-06-29T15:59:26Z,2026-01-29,https://tom-doerr.github.io/repo_posts/2026/01/29/agno-agi-agno.html,https://github.com/agno-agi/agno,57610
chatwoot/chatwoot,GitHub topic:dashboard,"Open-source live-chat, email support, omni-channel desk. An alternative to Intercom, Zendesk, Salesforce Service Cloud etc. 🔥💬",Dashboard / UI,Ruby,33723,7933,"Construye o muestra paneles de control para comparar resultados, métricas o modelos.",1230,NOASSERTION,actioncable; chat-widget; conversation; customer-support; dashboard; design; docker; docker-image; heroku; intercom; javascript; livechat; opensource; rails; ruby; sass; vuejs; whatsapp; zendesk,2019-08-14T06:50:51Z,2026-06-29T16:10:53Z,2026-06-29T16:06:56Z,,https://github.com/topics/dashboard,https://github.com/chatwoot/chatwoot,57522
jgm/pandoc,GitHub topic:markdown,Universal markup converter,Academic writing,Haskell,45124,3910,Sirve para trabajar con escritura académica.,1066,GPL-2.0,commonmark; converter; document; haskell; markdown; markup; pandoc; presentation; publishing,2010-03-20T20:34:23Z,2026-06-29T16:16:30Z,2026-06-29T16:16:18Z,,https://github.com/topics/markdown,https://github.com/jgm/pandoc,56854
hpcaitech/ColossalAI,MAGI//ARCHIVE,"Making large AI models cheaper, faster and more accessible",Data / ETL,Python,41410,4504,Sirve para trabajar con datos.,500,Apache-2.0,ai; big-model; data-parallelism; deep-learning; distributed-computing; foundation-models; heterogeneous-training; hpc; inference; large-scale; model-parallelism; pipeline-parallelism,2021-10-28T16:19:44Z,2026-06-28T16:48:39Z,2026-05-25T17:39:11Z,2026-01-30,https://tom-doerr.github.io/repo_posts/2026/01/30/hpcaitech-ColossalAI.html,https://github.com/hpcaitech/ColossalAI,54922
ashishpatel26/500-AI-Agents-Projects,MAGI//ARCHIVE,"The 500 AI Agents Projects is a curated collection of AI agent use cases across various industries. It showcases practical applications and provides links to open-source projects for implementation, illustrating how AI agents are transforming sectors such as healthcare, finance, education, retail, and more.",AI agents,Python,33261,5884,Permite crear o ejecutar agentes de IA con herramientas y flujos automatizados.,79,MIT,ai-agents; genai,2024-12-20T13:37:15Z,2026-06-29T15:57:05Z,2026-06-06T11:58:47Z,2026-01-29,https://tom-doerr.github.io/repo_posts/2026/01/29/ashishpatel26-500-AI-Agents-Projects.html,https://github.com/ashishpatel26/500-AI-Agents-Projects,50913
FreeCAD/FreeCAD,MAGI//ARCHIVE,"Official source code of FreeCAD, a free and opensource multiplatform 3D parametric modeler.",Dev tools,C++,31804,5708,"Genera, procesa o visualiza recursos 3D.",4010,LGPL-2.1,3d; 3d-printing; architecture; bim; cad; cam; coin; engineering; fem; freecad; linux; macos; opencascade; windows,2012-09-09T08:25:02Z,2026-06-29T16:11:35Z,2026-06-29T16:11:10Z,2026-01-29,https://tom-doerr.github.io/repo_posts/2026/01/29/FreeCAD-FreeCAD.html,https://github.com/FreeCAD/FreeCAD,48928
CopilotKit/CopilotKit,MAGI//ARCHIVE,"The Frontend Stack for Agents & Generative UI. React, Angular, Mobile, Slack, and more.  Makers of the AG-UI Protocol",AI agents,TypeScript,35634,4411,"Trabaja con modelos de lenguaje, recuperación aumentada o flujos de IA generativa.",619,MIT,agent; agent-native; agentic-ai; agents; ai; ai-agent; ai-assistant; assistant; assistant-chat-bots; copilot; copilot-chat; generative-ui; js; llm; nextjs; open-source; react; reactjs; ts; typescript,2023-06-19T04:08:31Z,2026-06-29T15:07:00Z,2026-06-29T15:23:58Z,2026-01-31,https://tom-doerr.github.io/repo_posts/2026/01/31/CopilotKit-CopilotKit.html,https://github.com/CopilotKit/CopilotKit,48867
docsifyjs/docsify,MAGI//ARCHIVE,🃏 A magical documentation site generator.,Academic writing,JavaScript,31311,5806,Genera sitios de documentación a partir de archivos Markdown.,99,MIT,doc; docs; docsify; documentation; documentation-tool; github-pages; markdown; vue,2016-11-20T07:55:43Z,2026-06-29T11:36:44Z,2026-06-28T06:35:19Z,2026-01-31,https://tom-doerr.github.io/repo_posts/2026/01/31/docsifyjs-docsify.html,https://github.com/docsifyjs/docsify,48729
filebrowser/filebrowser,MAGI//ARCHIVE,📂 Web File Browser,Other,Go,35298,3910,Repositorio para revisar: 📂 web file browser.,43,Apache-2.0,file-browser; file-manager; file-sharing; go; material-design; self-hosted; vue,2015-09-11T21:21:58Z,2026-06-29T14:59:05Z,2026-06-29T15:06:50Z,2026-01-30,https://tom-doerr.github.io/repo_posts/2026/01/30/filebrowser-filebrowser.html,https://github.com/filebrowser/filebrowser,47028
Imbad0202/academic-research-skills,GitHub topic:academic-writing,Academic Research Skills for Claude Code: research → write → review → revise → finalize,LLM / GenAI,Python,35321,2901,"Trabaja con modelos de lenguaje, recuperación aumentada o flujos de IA generativa.",9,NOASSERTION,academic-pipeline; academic-writing; ai-research; claude; claude-code; literature-review; peer-review; prompt-engineering,2026-02-26T06:31:01Z,2026-06-29T15:58:26Z,2026-06-24T07:19:07Z,,https://github.com/topics/academic-writing,https://github.com/Imbad0202/academic-research-skills,44024
OpenBMB/VoxCPM,MAGI//ARCHIVE,"VoxCPM2: Tokenizer-Free TTS for Multilingual Speech Generation, Creative Voice Design, and True-to-Life Cloning",Other,Python,32107,3646,"Ayuda a escribir y publicar libros, tesis o documentos académicos extensos.",118,Apache-2.0,audio; deeplearning; minicpm; multilingual; python; pytorch; speech; speech-synthesis; text-to-speech; tts; tts-model; voice-cloning; voice-design; voxcpm,2025-09-16T03:41:49Z,2026-06-29T16:14:27Z,2026-06-29T05:20:07Z,2026-01-30,https://tom-doerr.github.io/repo_posts/2026/01/30/OpenBMB-VoxCPM.html,https://github.com/OpenBMB/VoxCPM,43045
VectifyAI/PageIndex,MAGI//ARCHIVE,"📑 PageIndex: Document Index for Vectorless, Reasoning-based RAG",AI agents,Python,33510,2917,"Trabaja con modelos de lenguaje, recuperación aumentada o flujos de IA generativa.",181,MIT,agentic-ai; agents; ai; ai-agents; context-engineering; information-retrieval; llm; rag; reasoning; retrieval; retrieval-augmented-generation; vector-database,2025-04-01T10:53:54Z,2026-06-29T15:34:45Z,2026-06-29T06:58:57Z,2026-01-29,https://tom-doerr.github.io/repo_posts/2026/01/29/VectifyAI-PageIndex.html,https://github.com/VectifyAI/PageIndex,42261
khoj-ai/khoj,MAGI//ARCHIVE,"Your AI second brain. Self-hostable. Get answers from the web or your docs. Build custom agents, schedule automations, do deep research. Turn any online or local LLM into your personal, autonomous AI (gpt, claude, gemini, llama, qwen, mistral). Get started - free.",AI agents,Python,35392,2275,"Trabaja con modelos de lenguaje, recuperación aumentada o flujos de IA generativa.",106,AGPL-3.0,agent; ai; assistant; chat; chatgpt; emacs; image-generation; llama3; llamacpp; llm; obsidian; obsidian-md; offline-llm; productivity; rag; research; self-hosted; semantic-search; stt; whatsapp-ai,2021-08-16T01:48:44Z,2026-06-29T16:13:26Z,2026-06-24T21:17:20Z,2026-01-30,https://tom-doerr.github.io/repo_posts/2026/01/30/khoj-ai-khoj.html,https://github.com/khoj-ai/khoj,42217
heygen-com/hyperframes,GitHub topic:mcp,Write HTML. Render video. Built for agents.,AI agents,TypeScript,32138,2987,Permite crear o ejecutar agentes de IA con herramientas y flujos automatizados.,59,Apache-2.0,ai; animation; ffmpeg; framework; gsap; html; mcp; puppeteer; rendering; typescript; video,2026-03-10T01:51:06Z,2026-06-29T16:15:52Z,2026-06-29T16:13:39Z,,https://github.com/topics/mcp,https://github.com/heygen-com/hyperframes,41099
deskflow/deskflow,MAGI//ARCHIVE,Share a single keyboard and mouse between multiple computers.,Other,C++,26982,4675,Repositorio para revisar: share a single keyboard and mouse between multiple computers.,173,GPL-2.0,keyboard; keyboard-emulation; mouse; mouse-emulation; network,2014-10-12T23:18:57Z,2026-06-29T15:35:59Z,2026-06-29T05:54:41Z,2026-01-29,https://tom-doerr.github.io/repo_posts/2026/01/29/deskflow-deskflow.html,https://github.com/deskflow/deskflow,41007
qdrant/qdrant,GitHub topic:vector-database,"Qdrant - High-performance, massive-scale Vector Database and Vector Search Engine for the next generation of AI. Also available in the cloud https://cloud.qdrant.io/",LLM / GenAI,Rust,32779,2438,"Trabaja con modelos de lenguaje, recuperación aumentada o flujos de IA generativa.",590,Apache-2.0,ai-search; ai-search-engine; embeddings-similarity; hnsw; hybrid-search; image-search; knn-algorithm; machine-learning; mlops; nearest-neighbor-search; neural-network; neural-search; recommender-system; search; search-engine; search-engines; similarity-search; vector-database; vector-search; vector-search-engine,2020-05-30T21:37:01Z,2026-06-29T14:59:31Z,2026-06-29T14:52:19Z,,https://github.com/topics/vector-database,https://github.com/qdrant/qdrant,40093
jivoi/awesome-osint,MAGI//ARCHIVE,:scream: A curated list of amazingly awesome OSINT,Other,,27147,3753,Repositorio para revisar: :scream: a curated list of amazingly awesome osint.,0,NOASSERTION,awesome-list; osint; website,2016-11-30T13:26:11Z,2026-06-29T15:35:08Z,2026-06-29T15:00:58Z,2026-01-30,https://tom-doerr.github.io/repo_posts/2026/01/30/jivoi-awesome-osint.html,https://github.com/jivoi/awesome-osint,38406
floating-ui/floating-ui,MAGI//ARCHIVE,A JavaScript library to position floating elements and create interactions for them.,Other,TypeScript,32642,1682,Repositorio para revisar: a javascript library to position floating elements and create interactions for them.,54,MIT,dropdown; hacktoberfest; popover; popovers; position; positioning; positioning-engine; tooltip; tooltip-position,2016-03-29T17:00:47Z,2026-06-29T08:18:37Z,2026-06-10T23:26:52Z,2026-01-30,https://tom-doerr.github.io/repo_posts/2026/01/30/floating-ui-floating-ui.html,https://github.com/floating-ui/floating-ui,37688
chroma-core/chroma,MAGI//ARCHIVE,Search infrastructure for AI,AI agents,Rust,28632,2347,Permite crear o ejecutar agentes de IA con herramientas y flujos automatizados.,717,Apache-2.0,agents; ai; ai-agents; database; rust; rust-lang,2022-10-05T17:58:44Z,2026-06-29T14:54:12Z,2026-06-29T09:16:30Z,2026-01-31,https://tom-doerr.github.io/repo_posts/2026/01/31/chroma-core-chroma.html,https://github.com/chroma-core/chroma,35673
elizaOS/eliza,GitHub topic:rag,Open source agentic operating system,AI agents,TypeScript,18651,5571,"Trabaja con modelos de lenguaje, recuperación aumentada o flujos de IA generativa.",39,MIT,agent; agentic; ai; autonomous; chatbot; crypto; discord; eliza; elizaos; framework; plugins; rag; slack; swarm; telegram,2024-07-09T07:55:40Z,2026-06-29T16:14:59Z,2026-06-29T16:16:24Z,,https://github.com/topics/rag,https://github.com/elizaOS/eliza,35364
rustfs/rustfs,MAGI//ARCHIVE,"🚀2.3x faster than MinIO for 4KB object payloads. RustFS is an open-source, S3-compatible high-performance object storage system supporting migration and coexistence with other S3-compatible platforms such as MinIO and Ceph.",LLM / GenAI,Rust,29294,1276,"Trabaja con modelos de lenguaje, recuperación aumentada o flujos de IA generativa.",73,Apache-2.0,ai-native; ai-storage; amazon-s3; bigdata; cloud-native; filesystem; minio; multi-cloud; object-storage; objectstorage; rust; s3,2023-11-23T13:45:10Z,2026-06-29T16:04:22Z,2026-06-29T16:11:25Z,2026-01-29,https://tom-doerr.github.io/repo_posts/2026/01/29/rustfs-rustfs.html,https://github.com/rustfs/rustfs,33122
topoteretes/cognee,GitHub topic:vector-database,Cognee is the open-source AI memory platform for agents. Give your AI agents persistent long-term memory across sessions with a self-hosted knowledge graph engine.,AI agents,Python,25486,2350,"Trabaja con modelos de lenguaje, recuperación aumentada o flujos de IA generativa.",423,Apache-2.0,agent-memory; agent-skills; ai; ai-agents; ai-memory; cognitive-architecture; cognitive-memory; context-engineering; contributions-welcome; good-first-issue; good-first-pr; graph-database; graph-rag; help-wanted; knowledge; knowledge-graph; memory-management; open-source; vector-database,2023-08-16T16:16:33Z,2026-06-29T16:13:11Z,2026-06-29T16:07:38Z,,https://github.com/topics/vector-database,https://github.com/topoteretes/cognee,32536
onlook-dev/onlook,MAGI//ARCHIVE,"The Cursor for Designers • An Open-Source AI-First Design tool • Visually build, style, and edit your React App with AI",Qualitative analysis,TypeScript,26072,2018,"Sirve para organizar, codificar o analizar materiales cualitativos.",370,Apache-2.0,ai; cursor; cursor-ai; design; design-to-code; drizzle; editor; figma; frontend; ide; low-code; nextjs; react; supabase; tailwindcss; typescript; ui; vibe-coding; vibecoding,2024-06-25T19:16:02Z,2026-06-29T14:07:55Z,2026-06-09T23:18:58Z,2026-01-30,https://tom-doerr.github.io/repo_posts/2026/01/30/onlook-dev-onlook.html,https://github.com/onlook-dev/onlook,32126
luong-komorebi/Awesome-Linux-Software,MAGI//ARCHIVE,🐧 A list of awesome Linux softwares ,Dev tools,HTML,25283,2217,Agrega herramientas de línea de comandos para automatizar tareas de desarrollo.,0,,applications; awesome-list; cli-app; cross-platform; desktop-environment; free; freeware-icon; gui-app; icon-theme; linux; linux-app; linux-desktop; linux-resource; open-source; oss-icon; software; tools; ubuntu-linux,2016-08-06T13:16:29Z,2026-06-29T14:38:31Z,2026-05-03T08:15:18Z,2026-01-29,https://tom-doerr.github.io/repo_posts/2026/01/29/luong-komorebi-Awesome-Linux-Software.html,https://github.com/luong-komorebi/Awesome-Linux-Software,31934
Cinnamon/kotaemon,MAGI//ARCHIVE,An open-source RAG-based tool for chatting with your documents.,LLM / GenAI,Python,25501,2124,"Trabaja con modelos de lenguaje, recuperación aumentada o flujos de IA generativa.",233,Apache-2.0,chatbot; llms; open-source; rag,2024-03-25T08:16:42Z,2026-06-29T14:46:43Z,2026-06-09T09:55:55Z,2026-01-29,https://tom-doerr.github.io/repo_posts/2026/01/29/Cinnamon-kotaemon.html,https://github.com/Cinnamon/kotaemon,31873
google-ai-edge/gallery,MAGI//ARCHIVE,A gallery that showcases on-device ML/GenAI use cases and allows people to try and use models locally.,Other,Kotlin,23931,2526,Repositorio para revisar: a gallery that showcases on-device ml/genai use cases and allows people to try and use models locally.,338,Apache-2.0,,2025-03-31T17:47:28Z,2026-06-29T15:03:00Z,2026-06-25T14:33:57Z,2026-01-31,https://tom-doerr.github.io/repo_posts/2026/01/31/google-ai-edge-gallery.html,https://github.com/google-ai-edge/gallery,31509
plotly/dash,GitHub topic:data-visualization,Data Apps & Dashboards for Python. No JavaScript Required.,Data / ETL,Python,24276,2302,"Construye o muestra paneles de control para comparar resultados, métricas o modelos.",556,MIT,ai; bioinformatics; charting; dash; dashboards; data-science; data-visualization; finance; flask; gui-framework; jupyter; plotly; plotly-dash; productivity; python; react; technical-computing; web-app,2015-04-10T01:53:08Z,2026-06-29T15:43:08Z,2026-06-29T15:45:03Z,,https://github.com/topics/data-visualization,https://github.com/plotly/dash,31182
apify/crawlee,GitHub topic:scraper,"Crawlee—A web scraping and browser automation library for Node.js to build reliable crawlers. In JavaScript and TypeScript. Extract data for AI, LLMs, RAG, or GPTs. Download HTML, PDF, JPG, PNG, and other files from websites. Works with Puppeteer, Playwright, Cheerio, JSDOM, and raw HTTP. Both headful and headless mode. With proxy rotation.",LLM / GenAI,TypeScript,24273,1496,"Trabaja con modelos de lenguaje, recuperación aumentada o flujos de IA generativa.",178,Apache-2.0,apify; automation; crawler; crawling; headless; headless-chrome; javascript; nodejs; npm; playwright; puppeteer; scraper; scraping; typescript; web-crawler; web-crawling; web-scraping,2016-08-26T18:35:03Z,2026-06-29T16:07:02Z,2026-06-29T13:28:42Z,,https://github.com/topics/scraper,https://github.com/apify/crawlee,28761
